s,author,rank,plum_index,,species,study,calc,ri,n
house finch,Hill_1990,1.983,76,14,house finch,Hill_1990,0.905551655,0.905551655,14
house finch,Hill_1990,2.583,115,14,house finch,Hill_1990,0.631051859,0.631051859,17
house finch,Hill_1990,2.3,127,14,house finch,Hill_1990,0.7671915,0.7671915,18
house finch,Hill_1990,3.25,159,14,house finch,Hill_1990,0.761282527,0.761282527,21
house finch,Hill_1990,2.317,72,17,house finch,Hill_1994,0.743736738,0.743736738,21
house finch,Hill_1990,2.084,114,17,house finch,Hill_1994,0.887893956,0.887893956,4
house finch,Hill_1990,2.316,134,17,house finch,Hill_1994,0.567328132,0.567328132,16
house finch,Hill_1990,3.483,153,17,house finch,Hill_1994,0.98770792,0.98770792,8
house finch,Hill_1990,1.681,126,18,northern cardinal,Wolfenberger_1999a,-0.536051257,-0.536051257,8
house finch,Hill_1990,2.257,146,18,red backed fairy wren,Karubian_2002,0.79249304,0.79249304,56
house finch,Hill_1990,2.811,133,18,village weaverbird,Collias_et_al_1979,0.436665133,0.436665133,7
house finch,Hill_1990,3.293,164,18,yellowhammer,Sundberg_1995,0.307011823,0.307011823,7
house finch,Hill_1990,1.796,93,21,pied flycatcher,Saetre_et_al_1994,0.868243142,0.868243142,12
house finch,Hill_1990,1.901,117,21,european kestrel,Palokangas_et_al_1994,0.395768179,0.395768179,12
house finch,Hill_1990,2.058,132,21,,,,,
house finch,Hill_1990,3.733,144,21,,,,,
house finch,Hill_1994,1.809,93,21,,,,,
house finch,Hill_1994,1.936,117,21,,,,,
house finch,Hill_1994,2,132,21,,,,,
house finch,Hill_1994,3.723,144,21,,,,,
house finch,Hill_1994,1.574,104,4,,,,,
house finch,Hill_1994,2.575,116,4,,,,,
house finch,Hill_1994,2.043,126,4,,,,,
house finch,Hill_1994,4.107,144,4,,,,,
house finch,Hill_1994,2.426,93,16,,,,,
house finch,Hill_1994,2.085,117,16,,,,,
house finch,Hill_1994,2.277,132,16,,,,,
house finch,Hill_1994,3.404,144,16,,,,,
house finch,Hill_1994,1.745,104,8,,,,,
house finch,Hill_1994,2.085,116,8,,,,,
house finch,Hill_1994,2.617,126,8,,,,,
house finch,Hill_1994,3.723,144,8,,,,,
northern cardinal,Wolfenbarger_1999a,trial choice,plum_index,,,,,,
northern cardinal,Wolfenbarger_1999a,7,73.9,8,,,,,
northern cardinal,Wolfenbarger_1999a,5,81.7,8,,,,,
northern cardinal,Wolfenbarger_1999a,7,65.9,8,,,,,
northern cardinal,Wolfenbarger_1999a,5,71.9,8,,,,,
northern cardinal,Wolfenbarger_1999a,6,72.9,9,,,,,
northern cardinal,Wolfenbarger_1999a,3,86.1,9,,,,,
northern cardinal,Wolfenbarger_1999a,4,66.6,8,,,,,
northern cardinal,Wolfenbarger_1999a,4,77.3,8,,,,,
red backed fairy wren,Karubian_2002,perc_mates,bright_perc,,,,,,
red backed fairy wren,Karubian_2002,88.605,96.4,133,,,,,
red backed fairy wren,Karubian_2002,67.441,84.4,8,,,,,
red backed fairy wren,Karubian_2002,59.535,7.8,27,,,,,
village weaverbird,Collias_et_al_1979,nest acceptance,color (yellow/black),,,,,,
village weaverbird,Collias_et_al_1979,20,1,7,,,,,
village weaverbird,Collias_et_al_1979,16,0,7,,,,,
village weaverbird,Collias_et_al_1979,6,1,7,,,,,
village weaverbird,Collias_et_al_1979,4.5,0,7,,,,,
village weaverbird,Collias_et_al_1979,9,1,7,,,,,
village weaverbird,Collias_et_al_1979,8,0,7,,,,,
village weaverbird,Collias_et_al_1979,17.5,1,7,,,,,
village weaverbird,Collias_et_al_1979,7,0,7,,,,,
village weaverbird,Collias_et_al_1979,8,1,7,,,,,
village weaverbird,Collias_et_al_1979,4,0,7,,,,,
village weaverbird,Collias_et_al_1979,7,1,7,,,,,
village weaverbird,Collias_et_al_1979,1,0,7,,,,,
village weaverbird,Collias_et_al_1979,7.5,1,7,,,,,
village weaverbird,Collias_et_al_1979,0,0,7,,,,,
yellowhammer,Sundberg_1995,number_visits,bright/drab,,,,,,
yellowhammer,Sundberg_1995,1,1,7,,,,,
yellowhammer,Sundberg_1995,2,1,7,,,,,
yellowhammer,Sundberg_1995,7,1,7,,,,,
yellowhammer,Sundberg_1995,1,1,7,,,,,
yellowhammer,Sundberg_1995,4,1,7,,,,,
yellowhammer,Sundberg_1995,11,1,7,,,,,
yellowhammer,Sundberg_1995,1,1,7,,,,,
yellowhammer,Sundberg_1995,0,1,7,,,,,
yellowhammer,Sundberg_1995,0,0,7,,,,,
yellowhammer,Sundberg_1995,1,0,7,,,,,
yellowhammer,Sundberg_1995,0,0,7,,,,,
yellowhammer,Sundberg_1995,0,0,7,,,,,
yellowhammer,Sundberg_1995,1,0,7,,,,,
yellowhammer,Sundberg_1995,8,0,7,,,,,
yellowhammer,Sundberg_1995,0,0,7,,,,,
yellowhammer,Sundberg_1995,1,0,7,,,,,
pied flycatcher,Saetre_et_al_1994,num_female,bright/drab,,,,,,
pied flycatcher,Saetre_et_al_1994,12,1,15,,,,,
pied flycatcher,Saetre_et_al_1994,5,0,15,,,,,
pied flycatcher,Saetre_et_al_1994,8,1,9,,,,,
pied flycatcher,Saetre_et_al_1994,1,0,9,,,,,
european kestrel,Palokangas_et_al_1994,fem_pref,bright_score,,,,,,
european kestrel,Palokangas_et_al_1994,-4,2.5,12,,,,,
european kestrel,Palokangas_et_al_1994,0,3,12,,,,,
european kestrel,Palokangas_et_al_1994,1.5,3.5,12,,,,,
european kestrel,Palokangas_et_al_1994,-4,4,12,,,,,
european kestrel,Palokangas_et_al_1994,3.5,4,12,,,,,
